yelp_id,place_id,name,street_name,city,county,state,postal_code,coordinates,rating,review_count,business_status,category,hours
FZHU1RUfzV0lUPuxJ24xuA,ChIJkRX7ueJx44kRLZUBaos4zXs,"('Hair By Courtney B',)",518 Lincoln Ave,Saugus,Essex County,MA,01906,"(42.44822000000001, -71.0097795)",5,22,OPERATIONAL,"['hair_care', 'point_of_interest', 'establishment']","['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 9:00 AM – 7:00 PM', 'Thursday: 9:00 AM – 8:00 PM', 'Friday: 9:00 AM – 3:00 PM', 'Saturday: 9:00 AM – 3:00 PM', 'Sunday: Closed']"
QKyiI6zp4HXtecyAfvy2KQ,ChIJC33z9O7LRIYRlLwTR8F0dYY,"('Slick Rydes',)",9813 Beck Cir,Austin,Travis County,TX,78758,"(30.3773959, -97.7126287)",5,7,OPERATIONAL,"['car_repair', 'point_of_interest', 'establishment']","['Monday: 9:00 AM – 6:30 PM', 'Tuesday: 9:00 AM – 6:30 PM', 'Wednesday: 9:00 AM – 6:30 PM', 'Thursday: 9:00 AM – 6:30 PM', 'Friday: 9:00 AM – 6:30 PM', 'Saturday: 2:00 – 5:00 PM', 'Sunday: Closed']"
V6japeCwk-4-0c4urfl4NA,ChIJVY0ih21644kRqvonZ3EWOhQ,Boston Eagle,520 Tremont St,Boston,Suffolk County,MA,02116,"(42.3447015, -71.0700319)",3.6,56,CLOSED_PERMANENTLY,"['bar', 'point_of_interest', 'establishment']",
8wyFG60qrjfTKlqtNH5t1g,ChIJY1yXYj7JRIYR0QmKVZGIfS0,"('Texas Capital Dental',)",1015 E Braker Ln,Austin,Travis County,TX,78753,"(30.374533, -97.67188600000001)",4.4,37,OPERATIONAL,"['dentist', 'health', 'point_of_interest', 'establishment']","['Monday: 7:30 AM – 4:30 PM', 'Tuesday: 7:30 AM – 4:30 PM', 'Wednesday: 7:30 AM – 4:30 PM', 'Thursday: 7:30 AM – 4:30 PM', 'Friday: 7:30 AM – 1:30 PM', 'Saturday: Closed', 'Sunday: Closed']"
rab0U9Q-5roWhZjUkw0KSA,ChIJ0zd-G6hhOIgRz07sxx5XQPo,"(""Kiwi's Clubhouse Gahanna"",)",973 E Johnstown Rd,Gahanna,Franklin County,OH,43230,"(40.04308049999999, -82.86236219999999)",4.4,21,OPERATIONAL,"['school', 'point_of_interest', 'establishment']","['Monday: 7:00 AM – 6:00 PM', 'Tuesday: 7:00 AM – 6:00 PM', 'Wednesday: 7:00 AM – 6:00 PM', 'Thursday: 7:00 AM – 6:00 PM', 'Friday: 7:00 AM – 6:00 PM', 'Saturday: Closed', 'Sunday: Closed']"
9PVhwcxOl_lmbIQJKtKZ_w,ChIJ9UPIwOV3hlQRFP1cngBLF_g,"('Pho Chan',)",800 McBride Blvd,New Westminster,Metro Vancouver,BC,V3L 2B8,"(49.22295829999999, -122.9142392)",4.2,332,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 10:00 AM – 8:30 PM', 'Tuesday: 10:00 AM – 8:30 PM', 'Wednesday: 10:00 AM – 8:30 PM', 'Thursday: 10:00 AM – 8:30 PM', 'Friday: 10:00 AM – 8:30 PM', 'Saturday: 10:00 AM – 8:30 PM', 'Sunday: 10:00 AM – 8:00 PM']"
vMXz94Rb2LptSF2Dmu7Wqw,ChIJmQ1MECGE3YgRXSi10n1OwJk,"('Jiffy Lube',)",109 E Vine St,Kissimmee,Osceola County,FL,34744,"(28.304761, -81.40236399999999)",4.3,398,OPERATIONAL,"['car_repair', 'point_of_interest', 'store', 'establishment']","['Monday: 8:00 AM – 6:00 PM', 'Tuesday: 8:00 AM – 6:00 PM', 'Wednesday: 8:00 AM – 6:00 PM', 'Thursday: 8:00 AM – 6:00 PM', 'Friday: 8:00 AM – 6:00 PM', 'Saturday: 8:00 AM – 5:00 PM', 'Sunday: 9:00 AM – 4:00 PM']"
2VvcL2x4__2SIJs2AL0CpA,ChIJzY_XiepzhlQRf26iKFSIYzc,"('Sunshine Market',)",3135 Oak St,Vancouver,Metro Vancouver,BC,V6H 2L2,"(49.2574696, -123.127536)",4.2,131,OPERATIONAL,"['point_of_interest', 'establishment']","['Monday: 10:30 AM – 9:00 PM', 'Tuesday: 10:30 AM – 9:00 PM', 'Wednesday: 10:30 AM – 9:00 PM', 'Thursday: 10:30 AM – 9:00 PM', 'Friday: 10:30 AM – 9:00 PM', 'Saturday: 10:30 AM – 9:00 PM', 'Sunday: 10:30 AM – 9:00 PM']"
Cq3uqWdrhBT3NjHl6oeXJg,ChIJUX9UQloF9YgRRJ16r2mIgDo,"('North Atlanta Primary Care West Paces',)",3200 Downwood Cir NW,Atlanta,Fulton County,GA,30327,"(33.8418125, -84.42632739999999)",4,74,OPERATIONAL,"['health', 'point_of_interest', 'establishment']","['Monday: 7:30 AM – 5:00 PM', 'Tuesday: 7:30 AM – 5:00 PM', 'Wednesday: 7:30 AM – 5:00 PM', 'Thursday: 7:30 AM – 5:00 PM', 'Friday: 7:30 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']"
6s_DQAuanE8CMtyDf8RQJA,ChIJk4oy6Q5644kRxTd-aE5U5mk,"('Sugaring Boston',)",221 Newbury St,Boston,Suffolk County,MA,02116,"(42.35008759999999, -71.0815339)",4,98,OPERATIONAL,"['beauty_salon', 'hair_care', 'point_of_interest', 'establishment']","['Monday: 10:00 AM – 9:00 PM', 'Tuesday: 10:00 AM – 9:00 PM', 'Wednesday: 10:00 AM – 9:00 PM', 'Thursday: 10:00 AM – 9:00 PM', 'Friday: 10:00 AM – 9:00 PM', 'Saturday: 10:00 AM – 6:00 PM', 'Sunday: 10:00 AM – 6:00 PM']"
x0JqFuLPb9Mwsv948wJz5Q,ChIJL0hIqiGllVQRPJwQmQDXC8s,"(""Norm's Sewing & Vacuum Machine"",)",nan SE Mill Plain Blvd,Vancouver,Clark County,WA,98684,"(45.6176693, -122.5351253)",4.2,31,OPERATIONAL,"['point_of_interest', 'store', 'establishment']","['Monday: Closed', 'Tuesday: 11:00 AM – 3:00 PM', 'Wednesday: Closed', 'Thursday: 11:00 AM – 3:00 PM', 'Friday: Closed', 'Saturday: 11:00 AM – 3:00 PM', 'Sunday: Closed']"
THU2KGk4bQsP3vkEEfKSow,ChIJf4SKsYq1RIYRQzzSZ9QDMo8,Alfred at the LINE Austin,111 E Cesar Chavez St,Austin,Travis County,TX,78701,"(30.262672, -97.7436233)",4.2,81,OPERATIONAL,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","['Monday: 7:00 AM – 5:00 PM', 'Tuesday: 7:00 AM – 5:00 PM', 'Wednesday: 7:00 AM – 5:00 PM', 'Thursday: 7:00 AM – 5:00 PM', 'Friday: 7:00 AM – 5:00 PM', 'Saturday: 7:00 AM – 5:00 PM', 'Sunday: 7:00 AM – 5:00 PM']"
